subj,session,wave,dmcc,twinpair,is_mc_mi,is_mc_mi_cotwin,is_mi_mc,is_mi_mc_cotwin,is_mc_mi_retest,is_mc_mi_retest_cotwin,is_ispc_retest,is_ispc_retest_cotwin
102008,baseline,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
107321,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
115825,baseline,wave1,2,17,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
123117,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
130114,baseline,wave1,2,35,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
130518,baseline,wave1,2,23,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
132017,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
135730,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
138837,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
141422,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
150423,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
153429,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
155938,baseline,wave1,2,35,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
158136,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
160830,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
161832,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
165032,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
173738,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
176845,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
178647,baseline,wave1,2,16,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
178950,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
182436,baseline,wave1,2,16,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
203418,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
204319,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
233326,baseline,wave1,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
250427,baseline,wave1,2,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
300618,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
317332,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
346945,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
352738,baseline,wave1,2,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
393550,baseline,wave1,2,19,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
432332,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
448347,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
562345,baseline,wave1,2,23,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
580650,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
594156,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
601127,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
672756,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
729254,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
765864,baseline,wave1,2,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
814649,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
849971,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
873968,baseline,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
877168,baseline,wave1,2,18,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
882161,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC0472647,baseline,wave1,2,31,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC1328342,baseline,wave1,2,29,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC1596165,baseline,wave1,2,11,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC1624043,baseline,wave1,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC1971064,baseline,wave1,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC2442951,baseline,wave1,2,28,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DMCC2560452,baseline,wave1,2,8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC2609759,baseline,wave1,2,30,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC2803654,baseline,wave1,2,21,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC2834766,baseline,wave1,2,20,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC3062542,baseline,wave1,2,34,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC3091953,baseline,wave1,2,14,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DMCC3204738,baseline,wave1,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC3206338,baseline,wave1,2,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC3876181,baseline,wave1,2,31,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC3963378,baseline,wave1,2,30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC4191255,baseline,wave1,2,22,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC4260551,baseline,wave1,2,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC4368773,baseline,wave1,2,13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC4854984,baseline,wave1,2,15,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC5065053,baseline,wave1,2,13,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC5195268,baseline,wave1,2,24,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC5244053,baseline,wave1,2,32,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC5775387,baseline,wave1,2,26,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC5820265,baseline,wave1,2,14,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC6371570,baseline,wave1,2,27,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DMCC6418065,baseline,wave1,2,22,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC6484785,baseline,wave1,2,10,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC6627478,baseline,wave1,2,28,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC6661074,baseline,wave1,2,25,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DMCC6671683,baseline,wave1,2,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC6705371,baseline,wave1,2,25,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC6721369,baseline,wave1,2,26,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DMCC7297690,baseline,wave1,2,11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC7921988,baseline,wave1,2,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC8050964,baseline,wave1,2,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC8078683,baseline,wave1,2,10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC8214059,baseline,wave1,2,34,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC8260571,baseline,wave1,2,12,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC8760894,baseline,wave1,2,32,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC9441378,baseline,wave1,2,27,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC9478705,baseline,wave1,2,21,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DMCC9850294,baseline,wave1,2,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC9953810,baseline,wave1,2,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
107321,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
115825,proactive,wave1,2,17,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
123117,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
130114,proactive,wave1,2,35,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
130518,proactive,wave1,2,23,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
132017,proactive,wave1,2,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
135730,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
138837,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
141422,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
150423,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
153429,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
155938,proactive,wave1,2,35,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
158136,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
160830,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
161832,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
165032,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
171330,proactive,wave1,2,19,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
173738,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
176845,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
178243,proactive,wave1,2,17,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
178647,proactive,wave1,2,16,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
178950,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
182436,proactive,wave1,2,16,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
197449,proactive,wave1,2,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
203418,proactive,wave1,2,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
204319,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
300618,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
317332,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
346945,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
352738,proactive,wave1,2,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
393550,proactive,wave1,2,19,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
432332,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
448347,proactive,wave1,2,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
562345,proactive,wave1,2,23,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
580650,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
594156,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
601127,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
672756,proactive,wave1,2,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
729254,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
765864,proactive,wave1,2,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
814649,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
843151,proactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
849971,proactive,wave1,2,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
877168,proactive,wave1,2,18,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
882161,proactive,wave1,2,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC0472647,proactive,wave1,2,31,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC1328342,proactive,wave1,2,29,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC1596165,proactive,wave1,2,11,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC2442951,proactive,wave1,2,28,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
DMCC2560452,proactive,wave1,2,8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC2609759,proactive,wave1,2,30,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC2803654,proactive,wave1,2,21,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
DMCC2834766,proactive,wave1,2,20,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC3062542,proactive,wave1,2,34,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC3091953,proactive,wave1,2,14,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
DMCC3206338,proactive,wave1,2,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC3876181,proactive,wave1,2,31,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC3963378,proactive,wave1,2,30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC4191255,proactive,wave1,2,22,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC4368773,proactive,wave1,2,13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC4854984,proactive,wave1,2,15,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC5009144,proactive,wave1,2,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC5065053,proactive,wave1,2,13,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC5195268,proactive,wave1,2,24,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
DMCC5244053,proactive,wave1,2,32,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
DMCC5775387,proactive,wave1,2,26,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
DMCC5820265,proactive,wave1,2,14,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC6371570,proactive,wave1,2,27,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
DMCC6418065,proactive,wave1,2,22,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC6484785,proactive,wave1,2,10,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC6627478,proactive,wave1,2,28,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
DMCC6661074,proactive,wave1,2,25,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
DMCC6671683,proactive,wave1,2,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC6705371,proactive,wave1,2,25,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC6721369,proactive,wave1,2,26,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
DMCC6904377,proactive,wave1,2,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC6960387,proactive,wave1,2,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC7297690,proactive,wave1,2,11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC7921988,proactive,wave1,2,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC8033964,proactive,wave1,2,24,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC8050964,proactive,wave1,2,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC8078683,proactive,wave1,2,10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC8214059,proactive,wave1,2,34,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC8260571,proactive,wave1,2,12,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC8760894,proactive,wave1,2,32,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC9441378,proactive,wave1,2,27,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
DMCC9478705,proactive,wave1,2,21,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
DMCC9850294,proactive,wave1,2,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC9953810,proactive,wave1,2,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
107321,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
115825,reactive,wave1,2,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
123117,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
130114,reactive,wave1,2,35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
130518,reactive,wave1,2,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
132017,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
135730,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
138837,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
141422,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
150423,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
153429,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
155938,reactive,wave1,2,35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
158136,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
161832,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
165032,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
171330,reactive,wave1,2,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
173738,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
176845,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
178243,reactive,wave1,2,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
178647,reactive,wave1,2,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
178950,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
